source_file,cruise,ship,ship_code,time,latitude,longitude,line,station,biological_type,species_group,scientific_name,common_name,itis_tsn,calcofi_species_code,larvae_count,larvae_10m2,larvae_100m3,volume_sampled_m3,density_per_m3,sample_number,start_temperature,stop_temperature,mean_temperature,start_salinity,stop_salinity,mean_salinity,start_wind_speed,stop_wind_speed,sample_minutes,pump_speed_m3_per_min,egg_count,order_occupied,tow_type,tow_number,net_location,volume_sampled,plankton_density_ml_per_1000m3,year,month,day_of_year,season,lat_bin,lon_bin,spatial_cell,quality_flag
fish_egg_1,202301,REUBEN LASKER,RL,2023-01-18 10:41:00+00:00,32.65333,-121.02,86.7,70.0,larval_fish,Argyropelecus affinis,Argyropelecus affinis,Slender hatchetfish,162216.0,103.0,1.0,8.895833,,467.3,0.0021399529210357373,,,,,,,,,,,,,,,,,,,2023,1,18,Winter,4,15,4_15,good
fish_egg_1,202301,REUBEN LASKER,RL,2023-01-18 10:41:00+00:00,32.65333,-121.02,86.7,70.0,larval_fish,Citharichthys sordidus,Citharichthys sordidus,Pacific sanddab,172716.0,923.0,1.0,8.895833,,467.3,0.0021399529210357373,,,,,,,,,,,,,,,,,,,2023,1,18,Winter,4,15,4_15,good
fish_egg_1,202301,REUBEN LASKER,RL,2023-01-18 10:41:00+00:00,32.65333,-121.02,86.7,70.0,larval_fish,Citharichthys stigmaeus,Citharichthys stigmaeus,Speckled sanddab,172717.0,925.0,1.0,8.895833,,467.3,0.0021399529210357373,,,,,,,,,,,,,,,,,,,2023,1,18,Winter,4,15,4_15,good
fish_egg_1,202301,REUBEN LASKER,RL,2023-01-18 10:41:00+00:00,32.65333,-121.02,86.7,70.0,larval_fish,Danaphos oculatus,Danaphos oculatus,Bottlelight,162232.0,84.0,1.0,8.895833,,467.3,0.0021399529210357373,,,,,,,,,,,,,,,,,,,2023,1,18,Winter,4,15,4_15,good
fish_egg_1,202301,REUBEN LASKER,RL,2023-01-18 10:41:00+00:00,32.65333,-121.02,86.7,70.0,larval_fish,Diogenichthys atlanticus,Diogenichthys atlanticus,Longfin lanternfish,162676.0,239.0,1.0,8.895833,,467.3,0.0021399529210357373,,,,,,,,,,,,,,,,,,,2023,1,18,Winter,4,15,4_15,good
fish_egg_1,202301,REUBEN LASKER,RL,2023-01-18 10:41:00+00:00,32.65333,-121.02,86.7,70.0,larval_fish,Leuroglossus stilbius,Leuroglossus stilbius,California smoothtongue,162096.0,72.0,5.0,44.479168,,467.3,0.010699764605178685,,,,,,,,,,,,,,,,,,,2023,1,18,Winter,4,15,4_15,good
fish_egg_1,202301,REUBEN LASKER,RL,2023-01-18 10:41:00+00:00,32.65333,-121.02,86.7,70.0,larval_fish,Lipolagus ochotensis,Lipolagus ochotensis,Popeye blacksmelt,623625.0,68.0,1.0,8.895833,,467.3,0.0021399529210357373,,,,,,,,,,,,,,,,,,,2023,1,18,Winter,4,15,4_15,good
fish_egg_1,202301,REUBEN LASKER,RL,2023-01-18 10:41:00+00:00,32.65333,-121.02,86.7,70.0,larval_fish,Sebastes,Sebastes,Rockfishes,166705.0,683.0,2.0,17.791666,,467.3,0.004279905842071475,,,,,,,,,,,,,,,,,,,2023,1,18,Winter,4,15,4_15,good
fish_egg_1,202301,REUBEN LASKER,RL,2023-01-18 16:49:00+00:00,32.32,-121.71166,86.7,80.0,larval_fish,Ceratoscopelus townsendi,Ceratoscopelus townsendi,Dogtooth lampfish,162577.0,226.0,1.0,3.86,,537.0,0.00186219739292365,,,,,,,,,,,,,,,,,,,2023,1,18,Winter,3,13,3_13,good
fish_egg_1,202301,REUBEN LASKER,RL,2023-01-18 16:49:00+00:00,32.32,-121.71166,86.7,80.0,larval_fish,Cyclothone signata,Cyclothone signata,Showy bristlemouth,162168.0,78.0,2.0,7.72,,537.0,0.0037243947858473,,,,,,,,,,,,,,,,,,,2023,1,18,Winter,3,13,3_13,good
fish_egg_1,202301,REUBEN LASKER,RL,2023-01-18 16:49:00+00:00,32.32,-121.71166,86.7,80.0,larval_fish,Diogenichthys atlanticus,Diogenichthys atlanticus,Longfin lanternfish,162676.0,239.0,1.0,3.86,,537.0,0.00186219739292365,,,,,,,,,,,,,,,,,,,2023,1,18,Winter,3,13,3_13,good
fish_egg_1,202301,REUBEN LASKER,RL,2023-01-18 16:49:00+00:00,32.32,-121.71166,86.7,80.0,larval_fish,Idiacanthus antrostomus,Idiacanthus antrostomus,Pacific blackdragon,162301.0,161.0,2.0,7.72,,537.0,0.0037243947858473,,,,,,,,,,,,,,,,,,,2023,1,18,Winter,3,13,3_13,good
fish_egg_1,202301,REUBEN LASKER,RL,2023-01-18 16:49:00+00:00,32.32,-121.71166,86.7,80.0,larval_fish,Lampanyctus,Lampanyctus,,162632.0,261.0,2.0,7.72,,537.0,0.0037243947858473,,,,,,,,,,,,,,,,,,,2023,1,18,Winter,3,13,3_13,good
fish_egg_1,202301,REUBEN LASKER,RL,2023-01-18 16:49:00+00:00,32.32,-121.71166,86.7,80.0,larval_fish,Lipolagus ochotensis,Lipolagus ochotensis,Popeye blacksmelt,623625.0,68.0,3.0,11.58,,537.0,0.00558659217877095,,,,,,,,,,,,,,,,,,,2023,1,18,Winter,3,13,3_13,good
fish_egg_1,202301,REUBEN LASKER,RL,2023-01-18 16:49:00+00:00,32.32,-121.71166,86.7,80.0,larval_fish,Paralepididae,Paralepididae,Barradcudinas,162463.0,310.0,1.0,3.86,,537.0,0.00186219739292365,,,,,,,,,,,,,,,,,,,2023,1,18,Winter,3,13,3_13,good
