cruise,ship,ship_code,sample_number,time,latitude,longitude,start_temperature,start_salinity,start_wind_speed,start_wind_direction,start_pump_speed,stop_time,stop_latitude,stop_longitude,stop_temperature,stop_salinity,stop_wind_speed,stop_wind_direction,stop_pump_speed,sardine_eggs,anchovy_eggs,jack_mackerel_eggs,hake_eggs,squid_eggs,other_fish_eggs
,,,,UTC,degrees_north,degrees_east,degrees Celsius,practical salinity units,knotts,degrees,M^3 per minute,datetime (UTC),decimal degrees,decimal degrees,degrees Celsius,practical salinity units,knotts,degrees,M^3 per minute,count,count,count,count,count,count
202204,BELL M. SHIMADA,SH,301,2022-04-20T00:30:00Z,32.89334,-123.74521,15.56,33.062,8.52,291.3,0.8134,2022-04-20T01:24:03Z,32.81934,-123.90383,15.72,33.064,11.5,268.4,0.7772,3,0,18,0,0,9
202204,BELL M. SHIMADA,SH,302,2022-04-20T03:42:03Z,32.89477,-123.96979,15.61,33.034,7.26,75.6,0.8435,2022-04-20T04:16:55Z,32.98987,-124.03569,15.75,33.091,1.5,61.3,0.8194,5,0,0,0,0,11
202204,BELL M. SHIMADA,SH,303,2022-04-20T05:02:58Z,33.11533,-124.12349,15.9,33.153,4.77,305.2,0.8254,2022-04-20T05:30:30Z,33.18725,-124.175,15.84,33.121,8.02,296.1,0.8315,0,0,5,0,0,8
202204,BELL M. SHIMADA,SH,305,2022-04-20T06:02:37Z,33.26747,-124.23356,15.46,33.07,10.07,288.8,0.8315,2022-04-20T06:30:04Z,33.33447,-124.28346,14.62,32.889,7.13,289.0,0.8254,0,0,0,0,0,28
202204,BELL M. SHIMADA,SH,306,2022-04-20T06:30:04Z,33.33447,-124.28346,14.62,32.889,7.13,289.0,0.8254,2022-04-20T06:50:25Z,33.38579,-124.31886,14.83,32.898,8.69,272.0,0.8074,0,0,3,0,0,2
202204,BELL M. SHIMADA,SH,307,2022-04-20T08:42:00Z,33.4136,-124.2955,14.53,32.87,8.51,257.7,0.8254,2022-04-20T09:15:03Z,33.46578,-124.18263,14.61,32.9,7.54,252.6,0.8315,1,0,5,0,0,1
202204,BELL M. SHIMADA,SH,308,2022-04-20T09:15:03Z,33.46578,-124.18263,14.61,32.9,7.54,252.6,0.8315,2022-04-20T09:45:00Z,33.51243,-124.0802,14.58,32.948,10.12,260.3,0.8315,8,0,60,0,0,3
202204,BELL M. SHIMADA,SH,310,2022-04-20T09:56:51Z,33.52971,-124.0411,14.5,32.959,9.64,269.1,0.8254,2022-04-20T10:30:03Z,33.58172,-123.93001,14.72,32.922,13.06,273.6,0.8254,2,0,0,0,0,459
202204,BELL M. SHIMADA,SH,311,2022-04-20T10:30:03Z,33.58172,-123.93001,14.72,32.922,13.06,273.6,0.8254,2022-04-20T11:00:00Z,33.62732,-123.82421,14.8,32.953,12.99,283.6,0.8254,16,0,14,0,0,4
