cruise,ship,ship_code,order_occupied,tow_type,tow_number,net_location,time,latitude,longitude,line,station,volume_sampled,small_plankton,total_plankton
,,,,,,,UTC,degrees_north,degrees_east,,,meters^3,"ml/1,000 m^3 of water sampled","ml/1,000 m^3 of water sampled"
202301,REUBEN LASKER,RL,44,CB,1,S,2023-01-18T10:41:00Z,32.65333,-121.02,86.7,70.0,467.3,94.0,163.0
202301,REUBEN LASKER,RL,45,CB,1,S,2023-01-18T16:49:00Z,32.32,-121.71166,86.7,80.0,537.0,30.0,30.0
202301,REUBEN LASKER,RL,46,CB,1,S,2023-01-18T22:11:00Z,31.995,-122.386665,86.7,90.0,534.5,39.0,39.0
202301,REUBEN LASKER,RL,47,CB,1,S,2023-01-19T03:44:00Z,31.656666,-123.06834,86.7,100.0,444.5,61.0,344.0
202301,REUBEN LASKER,RL,48,CB,1,S,2023-01-19T09:32:00Z,31.321667,-123.745,86.7,110.0,488.2,107.0,160.0
202301,REUBEN LASKER,RL,49,CB,1,S,2023-01-19T16:50:00Z,31.918333,-124.14833,83.3,110.0,475.0,48.0,577.0
202301,REUBEN LASKER,RL,50,CB,1,S,2023-01-19T22:27:00Z,32.246666,-123.49167,83.3,100.0,492.3,49.0,77.0
202301,REUBEN LASKER,RL,51,CB,1,S,2023-01-20T04:22:00Z,32.578335,-122.81167,83.3,90.0,451.7,55.0,55.0
202301,REUBEN LASKER,RL,52,CB,1,S,2023-01-20T10:45:00Z,32.91,-122.128334,83.3,80.0,533.3,43.0,75.0
202301,REUBEN LASKER,RL,53,CB,1,S,2023-01-20T17:35:00Z,33.246666,-121.445,83.3,70.0,429.5,256.0,629.0
202301,REUBEN LASKER,RL,54,CB,1,S,2023-01-21T01:40:00Z,33.746666,-120.40833,83.3,55.0,429.7,35.0,35.0
202301,REUBEN LASKER,RL,55,CB,1,S,2023-01-21T05:38:00Z,33.87,-120.12666,83.3,51.0,458.2,39.0,39.0
202301,REUBEN LASKER,RL,56,CB,1,S,2023-01-21T12:03:00Z,34.273335,-120.026665,81.8,46.9,448.5,54.0,377.0
202301,REUBEN LASKER,RL,57,CB,1,S,2023-01-21T14:33:00Z,34.398335,-119.8,81.7,43.5,47.8,126.0,126.0
202301,REUBEN LASKER,RL,58,CB,1,S,2023-01-21T18:51:00Z,34.465,-120.488335,80.0,50.5,63.4,16.0,16.0
202301,REUBEN LASKER,RL,59,CB,1,S,2023-01-21T21:12:00Z,34.45,-120.52333,80.0,51.0,146.5,7.0,7.0
202301,REUBEN LASKER,RL,60,CB,1,S,2023-01-22T00:29:00Z,34.326668,-120.8,80.0,55.0,490.5,35.0,371.0
202301,REUBEN LASKER,RL,61,CB,1,S,2023-01-22T06:21:00Z,34.155,-121.151665,80.0,60.0,483.8,54.0,120.0
202301,REUBEN LASKER,RL,62,CB,1,S,2023-01-22T12:29:00Z,33.815,-121.84167,80.0,70.0,462.9,102.0,909.0
202301,REUBEN LASKER,RL,63,CB,1,S,2023-01-22T18:48:00Z,33.483334,-122.53167,80.0,80.0,548.2,177.0,265.0
202301,REUBEN LASKER,RL,64,CB,1,S,2023-01-23T17:16:00Z,33.148335,-123.22,80.0,90.0,528.1,23.0,23.0
202301,REUBEN LASKER,RL,65,CB,1,S,2023-01-24T02:01:00Z,32.816666,-123.90667,80.0,100.0,479.1,96.0,426.0
202301,REUBEN LASKER,RL,66,CB,1,S,2023-01-24T17:15:00Z,34.388332,-122.246666,76.7,70.0,458.4,41.0,271.0
202301,REUBEN LASKER,RL,67,CB,1,S,2023-01-24T23:18:00Z,34.72,-121.535,76.7,60.0,486.4,49.0,185.0
202301,REUBEN LASKER,RL,68,CB,1,S,2023-01-25T03:31:00Z,34.888332,-121.19666,76.7,55.0,476.0,59.0,489.0
202301,REUBEN LASKER,RL,69,CB,1,S,2023-01-25T07:31:00Z,35.021667,-120.915,76.7,51.0,403.1,50.0,270.0
202301,REUBEN LASKER,RL,70,CB,1,S,2023-01-25T09:53:00Z,35.088333,-120.778336,76.7,49.0,105.1,38.0,38.0
202301,REUBEN LASKER,RL,71,CB,1,S,2023-01-25T15:24:00Z,35.636665,-121.265,73.3,50.0,85.5,12.0,175.0
202301,REUBEN LASKER,RL,72,CB,1,S,2023-01-25T18:45:00Z,35.476665,-121.611664,73.3,55.0,465.9,30.0,144.0
